queryid,numberconstraints,rewritingtimenano
1,100,2589867229
2,100,2002073047
3,100,2212395449
4,100,1918384796
5,100,2007370785
6,100,2400549542
7,100,1895959121
8,100,1856285982
9,100,4279422806
10,100,2686902183
11,100,1992024620
12,100,2818953079
13,100,2232152484
15,100,1898913081
16,100,1945452568
18,100,3962114479
19,100,1994935832
20,100,1900463251
21,100,1996683230
