queryid,numberconstraints,rewritingtimenano
1,100,393261787
2,100,25738254
3,100,84615895
4,100,199460208
5,100,86843659
6,100,93761935
7,100,117196524
8,100,109046735
9,100,37594230
10,100,145869789
11,100,61708814
12,100,189757313
13,100,136366790
15,100,210158310
16,100,126077723
18,100,377543284
19,100,125286327
20,100,24565432
21,100,141577125
