queryid,numberconstraints,rewritingtimenano
1,100,391766175
2,100,27210440
3,100,83860686
4,100,198940246
5,100,85545837
6,100,94316844
7,100,117177517
8,100,109474889
9,100,36286515
10,100,145930149
11,100,61633106
12,100,180502779
13,100,134812868
15,100,209706877
16,100,126882653
18,100,382280293
19,100,124529155
20,100,24726207
21,100,140506790
