queryid,numberconstraints,rewritingtimenano
1,100,2769270848
2,100,2186120551
3,100,2526876030
4,100,2274097404
5,100,2323097779
6,100,2733394491
7,100,2080586632
8,100,2312358726
9,100,4517454154
10,100,2958574970
11,100,2295526937
12,100,2846396841
13,100,2482448920
15,100,2082218547
16,100,2407024330
18,100,3866525541
19,100,2191202288
20,100,2109807414
21,100,2851876975
