queryid,numberconstraints,rewritingtimenano
1,100,395546721
2,100,28149750
3,100,87567671
4,100,205427617
5,100,90575893
6,100,95348282
7,100,130721655
8,100,109146297
9,100,40900174
10,100,153514986
11,100,62839539
12,100,136976903
13,100,160083044
15,100,218436163
16,100,130291156
18,100,445996655
19,100,126161027
20,100,25557140
21,100,148255145
