queryid,numberconstraints,rewritingtimenano
1,100,1045028751
2,100,47850048
3,100,897796450
4,100,432525959
5,100,183475113
6,100,829860145
7,100,120140430
8,100,150535219
9,100,4500673883
10,100,1762058048
11,100,42086217
12,100,936497490
13,100,1093960744
15,100,18412125
16,100,102015571
18,100,4753770061
19,100,112773809
20,100,19343655
21,100,261260879
