queryid,numberconstraints,rewritingtimenano
1,1,401670200
2,1,27228156
3,1,86485961
4,1,200922948
5,1,91700193
6,1,97229174
7,1,120889137
8,1,117022564
9,1,37087123
10,1,152547235
11,1,61798473
12,1,182123808
13,1,138220311
15,1,210542354
16,1,126728650
18,1,401978799
19,1,125466848
20,1,24590388
21,1,145672498
