constraint0,3,1,602413,constraint1,3,1,242210,constraint2,2,1,173483,constraint3,2,1,182628,constraints10,3,1139017,constraints20,6,1582966,constraints40,12,2478336,constraints60,15,3199060,constraints76,22,4849253
constraint0,7,0,1417765,constraint1,7,0,778433,constraint2,2,1,61636,constraint3,3,1,49436,constraints10,3,1502147,constraints20,6,2703265,constraints40,11,7106443,constraints60,18,7201834,constraints76,20,9063657
constraint0,5,1,352266,constraint1,6,1,345793,constraint2,1,1,61736,constraint3,2,1,61436,constraints10,8,719132,constraints20,12,2372417,constraints40,23,5549704,constraints60,30,7882385,constraints76,37,10635842
constraint0,2,1,33427,constraint1,2,1,27763,constraint2,2,1,25718,constraint3,2,1,27791,constraints10,1,79427,constraints20,1,273683,constraints40,3,542667,constraints60,5,840442,constraints76,7,1125353
constraint0,8,1,633050,constraint1,8,1,762551,constraint2,3,1,139473,constraint3,4,1,188419,constraints10,5,1382792,constraints20,6,4911009,constraints40,10,11550248,constraints60,11,14913455,constraints76,14,17765649
constraint0,2,1,43691,constraint1,2,1,34709,constraint2,2,1,38763,constraint3,2,1,34273,constraints10,3,274320,constraints20,5,554295,constraints40,11,1446328,constraints60,14,2233152,constraints76,18,8842837
constraint0,8,1,469585,constraint1,8,1,1180736,constraint2,2,1,44573,constraint3,2,1,41418,constraints10,8,1796995,constraints20,12,4008475,constraints40,24,12831476,constraints60,30,25911718,constraints76,38,43833805
constraint0,10,0,2675965,constraint1,10,0,2492654,constraint2,1,1,65009,constraint3,1,1,94573,constraints10,8,3587853,constraints20,11,7876448,constraints40,22,24357197,constraints60,26,33134371,constraints76,32,46759653
constraint0,8,0,1040844,constraint1,8,0,1081626,constraint2,1,1,129400,constraint3,8,0,1084253,constraints10,5,2272262,constraints20,8,6637894,constraints40,17,36291385,constraints60,21,17146435,constraints76,27,23144443
constraint0,6,1,416712,constraint1,6,1,368693,constraint2,2,1,65082,constraint3,4,1,158964,constraints10,4,930161,constraints20,6,2582219,constraints40,11,6993487,constraints60,13,10755915,constraints76,16,112163162
constraint0,5,1,255956,constraint1,5,1,222219,constraint2,5,1,220528,constraint3,5,1,235083,constraints10,2,699259,constraints20,4,1612166,constraints40,6,4208658,constraints60,9,3179696,constraints76,10,3238460
constraint0,3,2,74291,constraint1,4,2,68564,constraint2,2,2,69509,constraint3,2,0,363,constraints10,2,436239,constraints20,2,1691330,constraints40,4,3607817,constraints60,4,5104864,constraints76,6,10180156
constraint0,3,1,66573,constraint1,3,1,55364,constraint2,2,1,28436,constraint3,2,1,26363,constraints10,3,183519,constraints20,5,20674906,constraints40,7,1795822,constraints60,9,2245162,constraints76,11,2732892
constraint0,3,1,23227,constraint1,5,1,19145,constraint2,2,1,16954,constraint3,4,1,24818,constraints10,2,12882531,constraints20,4,182255,constraints40,6,410503,constraints60,9,543367,constraints76,12,670268
constraint0,4,1,33045,constraint1,4,1,34400,constraint2,3,1,29327,constraint3,3,1,27391,constraints10,0,138219,constraints20,1,320156,constraints40,1,7032660,constraints60,3,2012914,constraints76,3,12094025
constraint0,3,1,65827,constraint1,4,1,72991,constraint2,2,1,64182,constraint3,3,1,69455,constraints10,3,406284,constraints20,5,9793735,constraints40,11,3044149,constraints60,14,13067059,constraints76,18,22187308
constraint0,4,0,267565,constraint1,4,0,291711,constraint2,1,1,45900,constraint3,2,1,26872,constraints10,5,681959,constraints20,8,8622963,constraints40,12,55672973,constraints60,17,20315658,constraints76,21,19020612
constraint0,3,1,167910,constraint1,3,1,163828,constraint2,1,1,108328,constraint3,1,1,103609,constraints10,3,828915,constraints20,5,1828558,constraints40,11,3288560,constraints60,14,13070814,constraints76,18,7796530
constraint0,3,1,67246,constraint1,3,1,49891,constraint2,2,1,28227,constraint3,2,1,23063,constraints10,2,187492,constraints20,4,380866,constraints40,7,1065589,constraints60,11,1547020,constraints76,13,54817558
constraint0,6,1,296920,constraint1,6,1,294938,constraint2,2,1,75336,constraint3,3,1,80237,constraints10,4,16175055,constraints20,6,2341853,constraints40,10,15250148,constraints60,12,17723312,constraints76,15,81113860
