queryid,numberconstraints,rewritingtimenano
1,1,84770355
2,1,42709566
3,1,66136800
4,1,45153233
5,1,58557788
6,1,70072055
7,1,49658688
8,1,56369644
9,1,166234922
10,1,90060777
11,1,39793222
12,1,130518466
13,1,51343677
15,1,37609577
16,1,47090011
18,1,142168155
19,1,52631644
20,1,38095877
21,1,55215777
