queryid,numberconstraints,rewritingtimenano
1,1,96031000
2,1,42655911
3,1,65265711
4,1,44059266
5,1,58937233
6,1,72342011
7,1,45342200
8,1,51549988
9,1,167261277
10,1,91525722
11,1,38480366
12,1,131853277
13,1,55431411
15,1,35920233
16,1,44236477
18,1,148237955
19,1,55390500
20,1,37734033
21,1,55559322
