queryid,numberconstraints,rewritingtimenano
1,1,93737722
2,1,47442255
3,1,62625944
4,1,42721555
5,1,55128088
6,1,62695200
7,1,45643388
8,1,51892100
9,1,142722366
10,1,85944600
11,1,38075144
12,1,94197233
13,1,46700900
15,1,37037955
16,1,48352700
18,1,122173555
19,1,52337222
20,1,38185811
21,1,55320466
