queryid,numberconstraints,rewritingtimenano
1,1,66687066
2,1,23578400
3,1,43976688
4,1,25954088
5,1,38156355
6,1,45878066
7,1,28091733
8,1,34269055
9,1,125172766
10,1,69941300
11,1,22489022
12,1,77712966
13,1,30727333
15,1,17671077
16,1,25859277
18,1,103398811
19,1,34544388
20,1,18993544
21,1,37474088
