4,10,261474
4,50,1290217
4,100,2501716
4,250,6644489
4,500,13202251
13,10,623404
13,50,2487416
13,100,5380053
13,250,13324443
13,500,26359475
21,10,1731493
21,50,7656523
21,100,11741005
21,250,23897349
21,500,46458099
7,10,1341218
7,50,6986373
7,100,14882962
7,250,34109953
7,500,63598604
10,10,1071398
10,50,6387715
10,100,11079300
10,250,28463661
10,500,54945501
5,10,1176307
5,50,6189604
5,100,12715375
5,250,31656128
5,500,61092833
3,10,1260608
3,50,5943957
3,100,11695041
3,250,29913180
3,500,59033992
12,10,687486
12,50,3803898
12,100,7240884
12,250,19495947
12,500,36494215
