Qid,constraints,Qexecution,Qrows,Runifications,Rrows,Rexecution
10,100,161.29099,14902,36,14902,154.08261
10,250,161.29099,14902,78,14902,160.5818
10,500,161.29099,14902,172,14902,237.22061
13,100,67.474,15000,0,15000,61.5188
13,250,67.474,15000,0,15000,66.4792
13,500,67.474,15000,0,15000,64.8466
18,100,403.1714,60175,3,60175,401.69202
18,250,403.1714,60175,5,60175,400.88763
18,500,403.1714,60175,15,60175,389.6258
